geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,0100000US,1,334922500,0,261404662,4086,312247826,144581,240833679,131833
United States,Not Hispanic or Latino,0100000US,2,270163129,1718,215947491,3541,260246647,46242,207080528,42159
United States,American Indian or Alaska Native Alone,0100000US,3,1719560,9250,1292376,6941,1708863,8959,1282989,6678
United States,Asian Alone,0100000US,4,19944980,23605,16149365,14508,14986395,27773,11654239,20944
United States,Black or African American Alone,0100000US,5,40648863,44497,31040450,23323,38983198,43236,29607116,24384
United States,Native Hawaiian or Other Pacific Islander Alone,0100000US,6,585667,5583,444850,3647,498102,4869,367178,3753
United States,White Alone,0100000US,7,196218644,871,160481398,766,193284595,19331,157845332,16822
United States,American Indian or Alaska Native and White,0100000US,8,2255395,9245,1735569,7562,2249733,9186,1730437,7505
United States,Asian and White,0100000US,9,2896735,23728,1585163,14593,2778757,24599,1491614,15003
United States,Black or African American and White,0100000US,10,3784648,38658,1855155,20524,3700058,37759,1784821,19603
United States,American Indian or Alaska Native and Black or African American,0100000US,11,398863,8519,302960,5947,395543,8456,300039,5914
United States,Remainder of Two or More Race Responses,0100000US,12,1709777,17650,1060203,11740,1661402,17286,1016770,11274
United States,Hispanic or Latino,0100000US,13,64759369,1547,45457177,1996,52001178,112134,33753153,100125
